,Date,predicted_load
537,2016-06-21,6961.58793801292
538,2016-06-22,7019.954964056273
539,2016-06-23,7030.954174081068
540,2016-06-24,7026.709778657778
541,2016-06-25,6553.175863938164
542,2016-06-26,6510.162520098641
543,2016-06-27,7165.481564532325
544,2016-06-28,7290.683284752879
545,2016-06-29,7349.99229588633
546,2016-06-30,7361.672596949387
547,2016-07-01,7357.711152358465
548,2016-07-02,6883.918591033474
549,2016-07-03,6839.959691288393
550,2016-07-04,7493.5035968298125
551,2016-07-05,7615.965056098342
552,2016-07-06,7671.444646254837
553,2016-07-07,7678.097935509429
554,2016-07-08,7667.822786765269
555,2016-07-09,7186.363282114982
556,2016-07-10,7133.342837615258
557,2016-07-11,7776.416371925911
558,2016-07-12,7887.012758793803
559,2016-07-13,7929.2754838446135
560,2016-07-14,7921.431441216845
561,2016-07-15,7895.477078104805
562,2016-07-16,7397.280395069352
563,2016-07-17,7326.611422240634
564,2016-07-18,7951.2911067531295
565,2016-07-19,8042.929931988939
566,2016-07-20,8065.864296062033
567,2016-07-21,8038.520705186097
568,2016-07-22,7993.097119805246
569,2016-07-23,7475.660097005356
570,2016-07-24,7386.17048693632
571,2016-07-25,7992.627753952471
572,2016-07-26,8066.804372383524
573,2016-07-27,8073.17844367191
574,2016-07-28,8030.294696396973
575,2016-07-29,7970.443296358744
576,2016-07-30,7439.755180294091
577,2016-07-31,7338.22671970565
578,2016-08-01,7933.863811588465
579,2016-08-02,7998.416848479927
580,2016-08-03,7996.314693576533
581,2016-08-04,7946.027778526435
582,2016-08-05,7879.749685516569
583,2016-08-06,7343.495842077371
584,2016-08-07,7237.1320328196125
585,2016-08-08,7828.522708609115
586,2016-08-09,7889.270418740846
587,2016-08-10,7883.654358299751
588,2016-08-11,7829.998011938819
589,2016-08-12,7760.355120710363
590,2016-08-13,7220.61247073662
591,2016-08-14,7110.522087592242
592,2016-08-15,7697.244376510902
593,2016-08-16,7752.9151071954575
594,2016-08-17,7741.760833822949
595,2016-08-18,7682.07600911418
596,2016-08-19,7605.909325700273
597,2016-08-20,7059.166111073161
598,2016-08-21,6941.639378191975
599,2016-08-22,7521.159446046497
600,2016-08-23,7569.333427472672
601,2016-08-24,7550.482586865518
602,2016-08-25,7483.007597891305
603,2016-08-26,7399.0710136062735
604,2016-08-27,6844.695567790109
605,2016-08-28,6719.791041967657
606,2016-08-29,7292.299747712665
607,2016-08-30,7333.932055589353
608,2016-08-31,7309.100101998449
609,2016-09-01,7236.279823306624
610,2016-09-02,7147.6907357874825
611,2016-09-03,6589.392169885082
612,2016-09-04,6461.308763674117
613,2016-09-05,7031.375313910294
614,2016-09-06,7071.272441639616
615,2016-09-07,7045.361205112035
616,2016-09-08,6972.046786478435
617,2016-09-09,6883.460624137104
618,2016-09-10,6325.559630005518
